7/13/2025,April 1,April 2,April 3,April 4,April 5,April 6,April 7,April 8,April 9,April 10,April 11,April 12,April 13,April 14,April 15,April 16,April 17,April 18,April 19,April 20,April 21,April 22,April 23,April 24,April 25,April 26,April 27,April 28,April 29,April 30,,TOTAL,,,,,,
New install/ First dis,18%,23%,23%,25%,22%,24%,25%,22%,23%,23%,25%,25%,20%,25%,24%,25%,23%,25%,24%,23%,25%,24%,21%,17%,22%,21%,20%,20%,24%,22%,,23%,,,,,,
SignUp/First dis.,22%,30%,28%,31%,29%,32%,32%,27%,29%,28%,31%,32%,26%,31%,28%,31%,29%,31%,31%,30%,31%,30%,27%,21%,26%,26%,27%,26%,27%,25%,,28%,,,,,,
Issues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cost,Rate USDGHC: ,16.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Google,"$2,393","$2,411","$2,450","$2,456","$2,450","$2,449","$2,271","$2,264","$2,346","$2,304","$2,320","$2,294","$2,285","$2,301","$2,274","$2,268","$2,275","$2,241","$2,298","$2,232","$2,223","$2,261","$2,320","$2,274","$2,232","$2,237","$2,215","$2,200","$2,136","$1,996",,"$68,676",,,,,,
Twitter,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,
Facebook,$223,$244,$324,$363,$345,$363,$393,$419,$330,$282,$252,$257,$261,$267,$275,$267,$273,$272,$277,$284,$261,$291,$289,$295,$315,$332,$322,$334,$354,$390,,"$9,153",,,,,,
Appnext,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,$0,,$0,,,,,,
Apple Search Ads,$70,$78,$75,$73,$67,$52,$73,$81,$82,$74,$64,$63,$67,$59,$66,$73,$76,$101,$94,$90,$93,$102,$81,$98,$97,$98,$91,$91,$131,$189,,"$2,549",,,,,,
